generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,api_key_disabled,api_key_name,app_name
gen-1789021375-bIb6Gif7StXVZbtqEUYg,2026-09-10 06:22:55.769,0.002152,,,,0,4820,140,0,0,openai/gpt-4.1-mini-2025-04-14,OpenAI,standard,false,true,,completed,stop,3140,591,false,QUORUM_EVAL_JUDGE_API_KEY,Quorum AI
gen-1789021358-R8oS3XNB4EK8nwU4WBNa,2026-09-10 06:22:38.884,0.00103,,,,0,5171,3861,3508,0,nvidia/nemotron-3-nano-30b-a3b,Novita,standard,false,true,,stop,stop,15309,577,false,OPENROUTER_API_KEY,Quorum AI
gen-1789021350-P6xofZDeCugOGi8wta6R,2026-09-10 06:22:30.900,0.004728,,,,0,5286,1257,0,0,google/gemini-2.5-flash,Google,standard,false,true,,STOP,stop,7634,348,false,OPENROUTER_API_KEY,Quorum AI
gen-1789021327-lOoB0OrtAEzgmbzow22K,2026-09-10 06:22:07.645,0.017882,,,,0,5792,2418,0,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,,end_turn,stop,22898,670,false,OPENROUTER_API_KEY,Quorum AI
gen-1789021321-4c4FMFPfUWcM3X7e1o6Z,2026-09-10 06:22:01.308,0.000956,,,,0,4837,385,0,0,openai/gpt-4o-mini,Azure,standard,false,true,,stop,stop,5969,1395,false,OPENROUTER_API_KEY,Quorum AI
gen-1789021308-zP5rYtLhdDKOr4BTKOId,2026-09-10 06:21:48.533,0.00737,0.007,,,0,2440,1242,167,0,nvidia/nemotron-3-nano-30b-a3b,Novita,standard,false,true,,stop,stop,4603,432,false,OPENROUTER_API_KEY,Quorum AI
gen-1789021308-xRX97dzMLNdsOZFBVe2T,2026-09-10 06:21:48.532,0.011385,0.007,,,0,2486,1456,0,0,google/gemini-2.5-flash,Google,standard,false,true,,STOP,stop,10501,321,false,OPENROUTER_API_KEY,Quorum AI
gen-1789021308-79je7vXCXyi5uQcjo3oW,2026-09-10 06:21:48.531,0.01433,0.007,,,0,2690,928,0,0,anthropic/claude-4.5-haiku-20251001,Amazon Bedrock,standard,false,true,,end_turn,stop,8641,600,false,OPENROUTER_API_KEY,Quorum AI
gen-1789021308-TSxUCNrsS1N7leY70BhW,2026-09-10 06:21:48.528,0.007753,0.007,,,0,2282,686,0,0,openai/gpt-4o-mini,Azure,standard,false,true,,stop,stop,11055,1802,false,OPENROUTER_API_KEY,Quorum AI
gen-1789021123-3ywgZUs0FgIlP2hqCHNc,2026-09-10 06:18:43.469,0.002588,,,,0,5928,136,0,0,openai/gpt-4.1-mini-2025-04-14,OpenAI,standard,false,true,,completed,stop,2867,809,false,QUORUM_EVAL_JUDGE_API_KEY,Quorum AI
